verb;usage;transFr;transEn;yellow
авторизоваться;;autoriser;authorize;not movement
анализировать\slash про-;;analyser;analyse;not movement
аплодировать;;applaudir;applaud;movement
арендовать;;louer;rent;not movement
бегать\slash бежать;;courir;run;movement
бежать\slash по-;;courir;run;movement
беспокоить\slash беспокоиться;;inquiéter;upset;not movement
беспокоиться\slash о-;;s'inquiéter de;worry;not movement
бить\slash по-;;battre;побить;not movement
благодарить\slash по-;;remercier;thank;not movement
блестеть\slash блеснуть;;briller;shine;movement
бодрствовать;;veiller;be / stay awake;movement
болеть;;être malade;be sick;movement
бороться\slash бороть;;lutter;fight (with, against);not movement
бояться;;craindre;be afraid (of);not movement
брать\slash взять;;prendre;take;not movement
бриться\slash по-;;se raser;shave;not movement
бронировать\slash за-;;réserver;reserve;not movement
бросать\slash бросить;;jeter;throw;not movement
будить\slash раз-;;réveiller;wake;not movement
бывать;;avoir lieu;be;movement
быть;;être;be;movement
варить\slash с-;;cuire;cook;not movement
вдыхать\slash вдохнуть;;aspirer;inhale;not movement
верить\slash по-;;croire;believe;not movement
вертеть;;tourner;turn (round and round);not movement
весить;;peser;weigh;movement
вести\slash по-;;mener;lead;not movement
вешать\slash повесить;;suspendre;hang (up);not movement
взвешивать\slash взвесить;;peser;weigh;not movement
взлетать\slash взлететь;;monter;fly up;movement
взрослеть\slash по-;;;become adult;movement
взрывать\slash взорвать;;faire exploser;blow up;not movement
взрываться\slash взорваться;;faire explosion;blow up;not movement
видеть\slash у-;;voir;see;not movement
висеть;;pendre;hang;movement
включать\slash включить;;insérer dans;include (in);not movement
влюбляться\slash влюбиться;;devenir amoureux de;fall in love (with);not movement
вносить\slash внести;;porter;carry in;not movement
водить\slash повести;;conduire;lead;not movement
воевать;;faire la guerre (à);wage war (on, with);movement
возвращать\slash возвратить;;rendre;return;not movement
возвращаться\slash возвратиться;;retourner;return;not movement
возить\slash повезти;;transporter;convey;not movement
возражать\slash возразить;;objecter;object (to);movement
волновать\slash вз-;;agiter;agitate;not movement
волноваться\slash вз-;;s'agiter;be agitated;not movement
воровать\slash с-;;voler;steal;not movement
восклицать\slash воскликнуть;;s'écrier;exclaim;movement
воспаляться\slash воспалиться;;s'enflammer;become;not movement
воспитывать\slash воспитать;;élever;bring up;not movement
вращать;;tourner, pivoter;turn, roll;not movement
вспоминать\slash вспомнить;;se souvenir de;remember;not movement
вставать\slash встать;;se lever;stand up;movement
встречать\slash встретить;;rencontrer;meet;not movement
встречаться\slash встретиться;;rencontrer;meet (with);not movement
входить\slash войти;;entrer;enter;movement
въезжать\slash въехать;;entrer;enter;movement
выбегать\slash выбежать;;sortir en courant;run out;movement
выбирать\slash выбрать;;choisir;choose;not movement
выбрасывать\slash выбросить;;jeter;throw out;not movement
выглядывать\slash выглядеть;;trouver;find;not movement
выдавать\slash выдать;;donner;give (out);not movement
выделять\slash выделить;;choisir;pick out;not movement
выдыхать\slash выдохнуть;;expirer;breathe out;not movement
выезжать\slash выехать;;partir;leave;movement
выздоравливать\slash выздороветь;;guérir;get better / well;movement
вызывать\slash вызвать;;faire venir;call;not movement
выигрывать\slash выиграть;;gagner;win;not movement
выкидывать\slash выкинуть;;jeter;throw out / away;not movement
выключать\slash выключить;;exclure;turn off;not movement
вылетать\slash вылететь;;s'envoler;fly out;movement
вынимать\slash вынуть;;tirer;take out;not movement
выпадать\slash выпасть;;tomber;fall out;movement
выписывать\slash выписать;;extraire;extract;not movement
выполняться\slash выполнить;;remplir;carry out;not movement
выпрямляться\slash выпрямиться;;se redresser;become straight;not movement
выражать\slash выразить;;exprimer;express;not movement
вырастать\slash вырасти;;grandir;grow;movement
выступать\slash выступить;;sortir;step forth / forward come forward;movement
вытекать\slash вытечь;;s'écouler;flow out;movement
вытягивать\slash вытянуть;;allonger;draw out;not movement
выучивать\slash выучить;;apprendre;learn;not movement
выходить\slash выйти;;sortir de;go out;not movement
вычеркивать\slash вычеркнуть;;radier;strike out;not movement
гасить\slash по-;;éteindre;extinguish;not movement
гладить\slash вы-;;repasser;iron;not movement
глядеть\slash по-;;regarder;look (at);not movement
говорить\slash сказать;;parler;be able to speak;not movement
голодать;;souffrir la faim;hunger;movement
голосовать\slash про-;;voter (pour);vote (for, against);not movement
гордиться;;être fier de;be proud (of);not movement
гореть;;brûler;burn;movement
готовить\slash при-;;préparer;prepare;not movement
готовиться\slash при-;;se préparer à;get ready;not movement
греметь\slash про-;;gronder;thunder;movement
греть;;chauffer;give out warmth;not movement
гулять;;se promener;go for a walk;movement
давать\slash дать;;donner;give;not movement
давить\slash раз-;;peser sur;weigh (upon);not movement
дарить\slash по-;;donner;give;not movement
двигать\slash двинуть;;mouvoir;move;not movement
двигаться\slash двинуться;;se mouvoir;move;not movement
дежурить;;être de service;be on duty;movement
делать\slash с-;;faire;make;not movement
делить\slash раз-;;diviser (en);divide;not movement
держать;;tenir;hold;not movement
держаться\slash держать;;tenir;hold on (to);not movement
дешеветь\slash по-;;devenir meilleur marché;cheapen;movement
диктовать\slash про-;;dicter;dictate;not movement
длиться\slash про-;;durer;last;not movement
добавлять\slash добавить;;ajouter;add (to);not movement
добираться\slash добраться;;parvenir à;get to;not movement
договариваться\slash договориться;;traiter;come (to);not movement
догонять\slash догнать;;courir après;catch up;movement
доезжать\slash доехать;;arriver jusqu'à;reach;movement
докладывать\slash доложить;;rapporter;report (on);not movement
дорожать\slash вз-;;(r)enchérir;rise in price;movement
доставать\slash достать;;atteindre;reach;not movement
доставлять\slash доставить;;fournir;deliver;not movement
доходить\slash дойти;;marcher jusqu’à;walk as far as;movement
драться\slash по-;;se battre;fight;not movement
дружить;;être ami;be friends with;not movement
думать\slash по-;;penser;think (about, of);not movement
дышать\slash по-;;respirer;breathe;not movement
ездить\slash ехать;;aller;go;movement
есть\slash съ-;;manger;eat (up=);not movement
ехать\slash по-;;aller à;go;movement
жалеть\slash по-;;plaindre;pity;not movement
жаловаться\slash по-;;se plaindre;complain (of, about);not movement
жарить\slash из-;;rôtir;roast;not movement
ждать;;attendre;wait (for);not movement
жевать\slash по-;;mâcher;chew;not movement
желать\slash по-;;désirer;wish;not movement
жениться;;se marier avec;get married (to);not movement
жить;;vivre;live;not movement
забирать\slash забрать;;prendre;take away;not movement
заболевать\slash заболеть;;tomber malade;begin to ache;movement
забывать\slash забыть;;oublier;forget;not movement
завидовать\slash по-;;porter envie à;envy;movement
зависеть;;dépendre de;depend (on);movement
заворачивать\slash завернуть;;envelopper;wrap up;not movement
завтракать\slash по-;;prendre son déjeuner;Take breakfast;movement
завязывать\slash завязать;;завязать I;tie (up);not movement
заговаривать\slash заговорить;;commencer à parler;begin / start / try to talk / speak;movement
загорать\slash загореть;;se hâler;to sunbathe;movement
задавать\slash задать;;donner;set;not movement
зажигать\slash зажечь;;allumer;set fire (to);not movement
заказывать\slash заказать;;commander;order;not movement
заканчивать\slash закончить;;achever;finish;not movement
заканчиваться\slash закончиться;;prendre fin;end;not movement
закрывать\slash закрыть;;fermer;shut;not movement
закрываться\slash закрыться;;se fermer;close;not movement
закуривать\slash закурить;;allumer une cigarette;light (up);not movement
заменять\slash заменить;;remplacer;replace (by);not movement
замерзать\slash замерзнуть;;se geler;freeze;movement
замечать\slash заметить;;remarquer;notice;not movement
замолчать;;se taire;keep quiet;movement
заниматься\slash заняться;;s'occuper de;occupy / busy oneself;not movement
запирать\slash запереть;;fermer;lock;not movement
записывать\slash записать;;noter;write down;not movement
записываться\slash записаться;;s'inscrire;enroll (in);not movement
заплатить;;payer;pay (for);not movement
заполнять\slash заполнить;;remplir;fill (up);not movement
запоминать\slash запомнить;;retenir;remember;not movement
запрещать\slash запретить;;défendre;forbid;not movement
запрещаться\slash запретить;;être défendu;be forbidden / prohibited;not movement
зарабатывать\slash заработать;;gagner;earn;not movement
зарегистрировать\slash зарегистрироваться;;se faire inscrire;be registered;not movement
застраховывать\slash застраховать;;assurer contre;insure (against);not movement
засыпать\slash заснуть;;s'endormir;fall asleep;not movement
заходить\slash зайти;;se mettre à marcher;go / come (to);movement
звать\slash по-;;appeler;call;not movement
звонить\slash по-;;sonner;ring;not movement
звучать\slash про-;;émettre un son;sound;movement
здороваться\slash по-;;saluer;greet;not movement
здравствовать;;se porter bien;be in good health;movement
знакомиться\slash по-;;faire la connaissance de;meet;not movement
знать;;connaître;know;not movement
значить;;signifier;mean;movement
зубрить\slash за-;;apprendre par cœur;cram;not movement
играть\slash сыграть;;jouer;play;not movement
идти\slash пойти;;aller;begin;movement
избирать\slash избрать;;élire;choose (as, for);not movement
извинять\slash извинить;;excuser;excuse;not movement
извиняться\slash извиниться;;s'excuser;make excuses;not movement
изменяться\slash измениться;;changer;change;not movement
измерять\slash измерить;;mesurer;measure;not movement
изучать\slash изучить;;étudier;study;not movement
иметь;;avoir;have;not movement
иметься\slash иметь;;avoir;be at / in / on hand;not movement
интересовать\slash за-;;éveiller l'intérêt de;interest in;not movement
интересоваться\slash за-;;s'intéresser à;be(come) interested (in);not movement
искать\slash по-;;chercher;look for;not movement
исключать\slash исключить;;exclure;exclude;not movement
использовать;;employer;use;not movement
исправлять\slash исправить;;corriger;correct;not movement
испугаться\slash пугаться;;s'effrayer;be frightened (of);not movement
испытывать\slash испытать;;essayer;try;not movement
кататься\slash катать;;se rouler;go for a drive;not movement
кашлять\slash про-;;tousser;cough;movement
кивать\slash кивнуть;;saluer;nod;movement
кидать\slash кинуть;;jeter;throw;not movement
кипеть;;bouillir;boil;movement
кипятить\slash вс-;;faire bouillir;boil;not movement
класть\slash положить;;mettre;put;not movement
клеить\slash с-;;coller;glue;not movement
коллекционировать;;collectionner;collect;not movement
консультировать\slash про-;;consulter;advise (on, about);not movement
консультироваться\slash про-;;consulter;consult (with);not movement
контролировать\slash про-;;contrôler;control;not movement
кончать\slash кончить;;finir;finish;not movement
кончаться\slash кончиться;;tirer;end;not movement
кормить\slash на-;;nourrir;feed;not movement
кричать\slash крикнуть;;crier;cry;movement
купаться\slash вы-;;se baigner;take a bath;not movement
курить\slash по-;;fumer;smoke;not movement
лаять;;aboyer;bark;not movement
лежать;;être couché;lie;not movement
летать;;voler;fly;movement
лететь\slash по-;;voler;fly;movement
лечить\slash по-;;soigner;treat (medically);not movement
лить;;verser;pour;not movement
ловить\slash поймать;;attraper;(try to) catch;not movement
ложиться\slash лечь;;se coucher;lie (down);not movement
ломать\slash по-;;casser;break;not movement
ломать\slash с-;;casser;break;not movement
любить;;aimer;love;not movement
любить\slash по-;;aimer;come to love;not movement
любоваться\slash за-;;admirer;admire;not movement
махать\slash махнуть;;agiter;wave;not movement
менять\slash об-;;changer;change;not movement
менять\slash по-;;менять;exchange;not movement
мерзнуть\slash за-;;geler;freeze;movement
мерить\slash с-;;mesurer;measure;not movement
мечтать;;rêver à;dream (of);not movement
мешать\slash по-;;empêcher;stir;not movement
молчать;;se taire;be / keep silent;movement
мочить;;mouiller;to wet;not movement
мочь\slash с-;;être capable;be able;movement
мыть\slash по-;;laver;wash;not movement
награждать\slash наградить;;récompencer;reward (with);not movement
надевать\slash надеть;;mettre;put on;not movement
надеяться\slash по-;;espérer;hope;not movement
надоедать\slash надоесть;;importuner;bother;movement
нажимать\slash нажать;;appuyer sur;press;not movement
назначать\slash назначить;;fixer;appoint;not movement
называть\slash назвать;;nommer;name;not movement
называться\slash назваться;;s'appeler;call oneself;not movement
наклоняться\slash наклониться;;se pencher;stoop;not movement
наливать\slash налить;;verser;pour (out);not movement
напоминать\slash напомнить;;rappeler;remind (of);not movement
напугать;;effrayer;frighten;not movement
нарушать\slash нарушить;;troubler;disturb;not movement
наставать\slash настать;;arriver;come;movement
наступать\slash наступить;;marcher sur;tread / step (on);movement
научить\slash научиться;;apprendre;learn;not movement
