verb;usage;transFr;transEn;yellow
составлять\slash составить;;assembler;put together;0
служить\slash по-;;servir;serve;0
считаться\slash по-;;compter avec;settle accounts (with);0
утверждать\slash утвердить;;confirmer;affirm;0
полагать;;penser;think;0
говориться;;être dit;to be said;0
обращать\slash обратить;;tourner;turn;0
способствовать\slash по-;;contribuer à;promote;1
устраивать\slash устроить;;organiser;arrange;0
свидетельствовать\slash о-;;témoigner;testify (to);0
хватать\slash схватить;;saisir;grasp;0
определяться\slash определиться;;être déterminé;take shape;0
скрывать\slash скрыть;;dissimuler;hide;0
выпускать\slash выпустить;;laisser aller;let out;0
предоставлять\slash предоставить;;donner;let have (to);0
проявляться\slash проявиться;;se manifester;become apparent;0
приниматься\slash приняться;;se mettre à;begin;0
рассматриваться\slash рассмотреть;;voir;rate;0
везти\slash по-;;transporter;convey;0
вестись\slash повести;;être conduit;be conducted;0
складываться\slash сложиться;;se former;club together (with);0
опираться\slash опереться;;s'appuyer sur;lean (against, on);0
призывать\slash призвать;;appeler;call;0
сталкиваться\slash столкнуться;;se heurter (à);collide (with);0
торчать;;sortir;jut out;1
придавать\slash придать;;donner;add;0
опасаться;;craindre;fear;0
осознавать\slash осознать;;avoir pleine conscience de;realize;0
вводить\slash ввести;;introduire;introduce;0
полагаться\slash положиться;;в обычае;rely (on);0
строиться\slash по-;;se bâtir une maison;be built;0
браться\slash взяться;;prendre;undertake;0
подавлять\slash подавить;;écraser;suppress;0
бродить;;errer;wander;1
качать\slash по-;;balancer (un peu);rock;0
располагать\slash расположить;;disposer;dispose;1
выводить\slash вывести;;sortir;take out;0
делаться\slash с-;;devenir;become;0
сиять\slash про-;;rayonner;shine;1
скрываться\slash скрыться;;se dissimuler;disappear;0
сражаться\slash сразиться;;se battre;fight;0
творить\slash со-;;créer;create;0
сводить\slash свести;;mener;lead;0
разглядывать\slash разглядеть;;dévisager;examine (closely);0
сформироваться\slash сформировать;;former;form;0
противоречить;;contredire;contradict;1
уставляться\slash уставиться;;разместиться;find / have room;0
править;;gouverner;govern;1
слышаться\slash по-;;se faire entendre;be heard;0
расходиться\slash разойтись;;s'en aller;go away;0
рухнуть;;s'écrouler;crash down;0
валяться\slash валять;;se vautrer;lie;0
предшествовать;;précéder;precede;0
подчиняться\slash подчиниться;;se soumettre;submit (to);0
упоминать\slash упомянуть;;mentionner;mention;0
потрясать\slash потрясти;;brandir;shake;0
обнаруживать\slash обнаружить;;découvrir;disclose;0
сопровождаться\slash сопроводиться;;être accompagné suivi;be accompanied (by);0
сводиться\slash свестись;;être ramené à;come (to);0
ориентироваться;;s'orienter;orient(ate) oneself;0
