verb;usage;transFr;transEn;yellow
авторизоваться;;autoriser;authorize;0
анализировать\slash про-;;analyser;analyse;0
аплодировать;;applaudir;applaud;1
арендовать;;louer;rent;0
бегать\slash бежать;;courir;run;1
бежать\slash по-;;courir;run;1
беспокоить\slash беспокоиться;;inquiéter;upset;0
беспокоиться\slash о-;;s'inquiéter de;worry;0
бить\slash по-;;battre;побить;0
благодарить\slash по-;;remercier;thank;0
блестеть\slash блеснуть;;briller;shine;1
бодрствовать;;veiller;be / stay awake;1
болеть;;être malade;be sick;1
бороться\slash бороть;;lutter;fight (with, against);0
бояться;;craindre;be afraid (of);0
брать\slash взять;;prendre;take;0
бриться\slash по-;;se raser;shave;0
бронировать\slash за-;;réserver;reserve;0
бросать\slash бросить;;jeter;throw;0
будить\slash раз-;;réveiller;wake;0
бывать;;avoir lieu;be;1
быть;;être;be;1
варить\slash с-;;cuire;cook;0
вдыхать\slash вдохнуть;;aspirer;inhale;0
верить\slash по-;;croire;believe;0
вертеть;;tourner;turn (round and round);0
весить;;peser;weigh;1
вести\slash по-;;mener;lead;0
вешать\slash повесить;;suspendre;hang (up);0
взвешивать\slash взвесить;;peser;weigh;0
взлетать\slash взлететь;;monter;fly up;1
взрослеть\slash по-;;;become adult;1
взрывать\slash взорвать;;faire exploser;blow up;0
взрываться\slash взорваться;;faire explosion;blow up;0
видеть\slash у-;;voir;see;0
висеть;;pendre;hang;1
включать\slash включить;;insérer dans;include (in);0
влюбляться\slash влюбиться;;devenir amoureux de;fall in love (with);0
вносить\slash внести;;porter;carry in;0
водить\slash повести;;conduire;lead;0
воевать;;faire la guerre (à);wage war (on, with);1
возвращать\slash возвратить;;rendre;return;0
возвращаться\slash возвратиться;;retourner;return;0
возить\slash повезти;;transporter;convey;0
возражать\slash возразить;;objecter;object (to);1
волновать\slash вз-;;agiter;agitate;0
волноваться\slash вз-;;s'agiter;be agitated;0
воровать\slash с-;;voler;steal;0
восклицать\slash воскликнуть;;s'écrier;exclaim;1
воспаляться\slash воспалиться;;s'enflammer;become;0
воспитывать\slash воспитать;;élever;bring up;0
