verb;usage;transFr;transEn;yellow
быть;;être;be;1
мочь\slash смочь;;être capable;be able;1
говорить\slash сказать;;parler;be able to speak;0
знать;;connaître;know;0
хотеть\slash захотеть;;vouloir;want;0
иметь;;avoir;have;0
делать\slash сделать;;faire;make;0
идти\slash пойти;;aller;begin;1
видеть\slash увидеть;;voir;see;0
думать\slash подумать;;penser;think (about, of);0
работать;;travailler;work;0
жить;;vivre;live;0
смотреть\slash посмотреть;;regarder;look;0
понимать\slash понять;;comprendre;understand;0
любить;;aimer;love;0
писать\slash написать;;écrire;write;0
сидеть;;être assis;sit;0
стоять;;se tenir debout;stand;1
стоить;;coûter;cost;1
давать\slash дать;;donner;give;0
начинать\slash начать;;commencer;begin;0
ждать;;attendre;wait (for);0
читать\slash прочесть;;lire;read;0
помнить;;se souvenir de;remember;0
называть\slash назвать;;nommer;name;0
играть\slash сыграть;;jouer;play;0
заниматься\slash заняться;;s'occuper de;occupy / busy oneself;0
лежать;;être couché;lie;0
ходить\slash пойти;;marcher;go;1
отвечать\slash ответить;;répondre;answer;0
просить\slash попросить;;demander;ask;0
выходить\slash выйти;;sortir de;go out;0
получать\slash получить;;recevoir;receive;0
приходить\slash прийти;;venir;come;1
спать;;dormir;be asleep;0
брать\slash взять;;prendre;take;0
покупать\slash купить;;acheter;buy;0
слушать\slash послушать;;écouter;listen (to);0
рассказывать\slash рассказать;;raconter;tell;0
уходить\slash уйти;;s'en aller;leave;0
спрашивать\slash спросить;;demander;ask;0
ехать\slash поехать;;aller à;go;1
нравиться\slash понравиться;;plaire;please;0
пить\slash выпить;;boire;drink;0
входить\slash войти;;entrer;enter;1
уметь\slash суметь;;savoir;be able;1
помогать\slash помочь;;assister;help;1
учиться\slash выучиться;;apprendre;learn;0
садиться\slash сесть;;s'asseoir;sit down;0
означать;;signifier;signify;0
ставить\slash поставить;;mettre;put;0
называться\slash назваться;;s'appeler;call oneself;0
бежать\slash побежать;;courir;run;1
класть\slash положить;;mettre;put;0
есть\slash съесть;;manger;eat (up=);0
начинаться\slash начаться;;commencer;begin;0
значить;;signifier;mean;1
звонить\slash позвонить;;sonner;ring;0
петь\slash спеть;;chanter;sing;0
родиться;;naître;be born;0
прочитывать\slash прочитать;;lire;read (for some time);0
падать\slash пасть;;tomber;fall;1
открывать\slash открыть;;ouvrir;open;0
уезжать\slash уехать;;partir (pour);leave (for);1
снимать\slash снять;;enlever;take away;0
учить\slash учиться;;enseigner à;to teach;0
здравствовать;;se porter bien;be in good health;1
объяснять\slash объяснить;;expliquer;explain;0
выбирать\slash выбрать;;choisir;choose;0
включать\slash включить;;insérer dans;include (in);0
забывать\slash забыть;;oublier;forget;0
приносить\slash принести;;apporter;bring;0
готовить\slash приготовить;;préparer;prepare;0
переходить\slash перейти;;passer;cross;1
повторять\slash повторить;;répéter;repeat;0
умирать\slash умереть;;mourir;die;0
переводить\slash перевести;;conduire;lead;0
болеть;;être malade;be sick;1
