verb;usage;transFr;transEn;yellow
адресовать;;adresser;address;0
активизировать;;activer, dynamiser;make more active;0
активировать;;activer;activate;0
анализировать\slash про-;;analyser;analyse;0
аннулировать;;annuler;annul;0
аргументировать;;argumenter;argue;0
арестовывать\slash арестовать;;arrêter;arrest;0
архивировать\slash за-;;archiver;archive;0
ассоциировать;;associer;associate;0
атаковать;;attaquer;attack;0
базироваться\slash базировать;;se fonder sur;rest (on, upon);0
бастовать;;faire grève;strike;1
беременеть\slash за-;;devenir enceinte;become pregnant;1
беречь\slash по-;что;garder, conserver;guard, keep;0
беседовать;;causer;converse (with);1
блокировать;;bloquer;blockade;0
болтать\slash вз-;;agiter;shake up;0
бомбардировать;;bombarder;bomb;0
бормотать\slash про-;;marmonner;mutter;0
бросаться\slash броситься;;se précipiter;dash;0
брызгать\slash брызнуть;;jaillir;splash (on);0
ввозить\slash ввезти;;importer;import;0
вести\slash по-;;mener;move;0
взаимодействовать;;coopérer;interact;1
взволновать\slash волновать;;inquiéter;agitate;0
взглядывать\slash взглянуть;;regarder;look (at);1
вздрагивать\slash вздрогнуть;;débuter, trembler;start, tremble;1
вздыхать\slash вздохнуть;;respirer;sigh;1
взламывать\slash взломать;;forcer;break open;0
видеться\slash у-;;se voir;увидеться;0
вкладывать\slash вложить;;mettre, contribuer;put in, contribute;0
включаться\slash включиться;;se joindre à;join (in);0
владеть\slash за-;;posséder;own;1
влезать\slash влезть;;grimper (à);climb in(to);1
влиять\slash по-;;influencer;influence;1
вмешиваться\slash вмешаться;;se mêler de;interfere (in);0
вмещать\slash вместить;;contenir;hold;0
внушать\slash внушить;;inspirer;suggest;0
возбуждать\slash возбудить;;exciter;excite;0
возглавлять\slash возглавить;;être à la tête;be at the head;0
воздействовать;;influencer;influence;1
воздерживаться\slash воздержаться;;s'abstenir de;refrain (from);0
возникать\slash возникнуть;;surgir;arise;1
возобновлять\slash возобновить;;recommencer;renew;0
возрастать\slash возрасти;;croître;grow;1
вонять\slash за-;;puer;stink (of);1
воображать\slash вообразить;;imaginer;imagine;0
воспринимать\slash воспринять;;percevoir;perceive;0
восприняться\slash восприниматься;;s’apercevoir;perceive;0
воспроизводить\slash воспроизвести;;répéter, rejouer;reproduce, replay;0
