verb;usage;transFr;transEn;yellow
казаться\slash по-;;paraître;seem;0
оказываться\slash оказаться;;s’avérer;turn out (to be);0
оказывать\slash оказать;;montrer, apporter une aide;show, display;0
доказывать\slash доказать;;prouver;prove;0
приказывать\slash приказать;;ordonner;order (to);0
наказывать\slash наказать;;punir;punish;0
существовать\slash про-;;exister / subsister;exist;1
пытаться\slash по-;;tenter;try;0
позволять\slash позволить;;permettre;allow (to);0
требовать\slash по-;;exiger;demand (of, from);0
собираться\slash собраться;;se rassembler;gather;0
разбираться\slash разобраться;;comprendre, résoudre;sort out;0
набирать\slash набрать;;saisir, recruter;gather;0
подбирать\slash подобрать;;choisir, ramasser;pick up, select;0
разбирать\slash разобрать;;démonter, démêler;strip (object, idea);0
выбираться\slash выбраться;;se / s’en sortir;get out;0
отбирать\slash отобрать;;enlever;take away / off / from;0
забираться\slash забраться;;grimper, pénétrer;climb up, crawl;0
приходиться\slash прийтись;;convenir;suit;1
исходить\slash изойти;;venir de;come from;1
находиться\slash найтись;;se trouver;be found;0
обходиться\slash обойтись;;coûter, traiter qqun d’une façon;cost, get by with;0
касаться\slash коснуться;;toucher, concerner;touch, refer to;0
действовать\slash по-;;agir;act;1
воздействовать;;influencer;influence;1
содействовать\slash по-;;encourager;encourage;1
состоять;;consister (en);consist (in);1
предстоять;;rester à venir;lie ahead;1
настаивать\slash настоять;;insister sur;insist;1
возникать\slash возникнуть;;surgir;arise;1
появляться\slash появиться;;apparaître;appear;0
проявлять\slash проявить;;faire preuve de, révéler;display, reveal;0
заявлять\slash заявить;;déclarer;declare;0
обладать;;posséder;possess;1
наблюдать\slash по-;;observer, surveiller;watch, observe;0
наблюдаться\slash по-;;être observé;be observed;0
судить;;juger;try;0
рассуждать\slash рассудить;;raisonner;argue;1
осуждать\slash осудить;;désapprouver;condemn;0
занимать\slash занять;;emprunter;borrow;0
обнимать\slash обнять;;étreindre;embrace, hug;0
нанимать\slash нанять;;louer;hire;0
вонять\slash за-;;puer;stink (of);1
стремиться\slash у-;;aspirer à;speed;0
поддерживать\slash поддержать;;soutenir;support;0
содержать;;contenir, maintenir;contain, maintain;0
придерживаться\slash придержаться;;se tenir à;hold (to);0
удерживать\slash удержать;;garder, retenir qqch ou qqun;retain;0
сдерживать\slash сдержать;;contenir, réprimer;hold in;0
выдерживать\slash выдержать;;résister aux difficultés;stand against difficulties;0
задерживать\slash задержать;;détenir, retarder;detain;0
воздерживаться\slash воздержаться;;s'abstenir de;refrain (from);0
рассматривать\slash рассмотреть;;envisager;examine;0
осматривать\slash осмотреть;;visiter;view;0
выполнять\slash выполнить;;exécuter;carry out;0
исполнять\slash исполнить;;accomplir (devoir), réaliser (souhait);carry out, fulfill;0
наполнять\slash наполнить;;remplir;fill;0
дополнять\slash дополнить;;compléter;supplement (with);0
использоваться;;être utilisé;be used;0
пользоваться\slash вос-;;profiter de;avail oneself (of);0
соответствовать;;être conforme à;conform (to);1
определять\slash определить;;définir;determine;0
распределять\slash распределить;;distribuer;distribute (to, among);0
говорить\slash по-;;parler;talk (about);1
проговаривать\slash проговорить;;prononcer;say;0
приговаривать\slash приговорить;;condamner (à);repeat;0
предполагать\slash предположить;;supposer;assume;0
располагаться\slash расположиться;;s'installer;settle (oneself);0
предполагаться\slash предположиться;;être prévu, destiné;be intended, presumed;0
опубликовывать\slash опубликовать;;publier, promulguer;publish, make public;0
публиковать\slash о-;;publier;publish;0
заключаться\slash заключиться;;consister en;conclude (with, in);0
заключать\slash заключить;;conclure, enfermer;conclude, close;0
включаться\slash включиться;;se joindre à;join (in);0
подключать\slash подключить;;brancher;link up;0
следить\slash *;;suivre (surveiller);follow (watch);1
отслеживать\slash отследить;;suivre, tracer;backtrace;0
обеспечивать\slash обеспечить;;fournir, pourvoir;secure, provide;0
заставлять\slash заставить;;contraindre;compel;0
поставлять\slash поставить;;fournir;supply;0
вставлять\slash вставить;;insérer;set in(to);0
доставаться\slash достаться;;recevoir;fall to one's share;0
расставаться\slash расстаться;;se séparer;part with;0
заставать\slash застать;;trouver, surprendre;find, catch, meet;0
учитывать\slash учесть;;tenir compte de;take into account / consideration;0
считать\slash счесть;;compter;count;1
рассчитываться\slash рассчитаться;;régler ses comptes;settle accounts;0
меняться\slash по-;;changer;change;0
изменять\slash изменить;;modifier;modify;1
обмениваться\slash обменяться;;s’échanger;take smth. by mistake;0
проводиться\slash провестись;;s’être passé;happen, have the occasion;0
вести\slash по-;;mener;move;0
сопровождать\slash сопроводить;;accompagner;accompany;0
подводить\slash подвести;;amener;lead (to);0
заводить\slash завести;;conduire, démarrer;lead, start/bring up;0
доводить\slash довести;;amener à;to take (to);0
делаться\slash с-;;devenir;become;0
проделывать\slash проделать;;pratiquer;break through;0
переделывать\slash переделать;;refaire;make over;0
делиться\slash по-;;partager, se diviser;share, be divided;0
разделять\slash разделить;;fractionner;divide (into);0
выделяться\slash выделиться;;se démarquer;stand out (for);0
отделять\slash отделить;;dissocier;separate;0
разделяться\slash разделиться;;se séparer;be shared;0
попадать\slash попасть;;tomber, atteindre;fall into, it upon;1
нападать\slash напасть;;attaquer, surmonter;attack, to overcome;1
впадать\slash впасть;;tomber, sombrer;fall, lapse;1
совпадать\slash совпасть;;coïncider;coincide (with);1
нуждаться;в;avoir besoin de;be in need of;0
вынуждать\slash вынудить;;(ordres) forcer à faire;force;0
принуждать\slash принудить;;(situation) forcer de faire;force;0
удаваться\slash удаться;;réussir;turn out well;0
сдавать\slash сдать;;livrer;deliver;0
продаваться\slash продаться;;se vendre;be on / for sale;0
издавать\slash издать;;publier;publish;0
обожать;;adorer;adore;0
сжимать\slash сжать;;serrer;gripe;0
прижимать\slash прижать;;presser contre, coincer qqun;press (to / on);0
прижиматься\slash прижаться;;s’appuyer contre;press oneself (to);0
зажимать\slash зажать;;serrer, pincer;press;0
предавать\slash предать;;livrer à, trahir;hand over, betray;0
видеться\slash у-;;se voir;увидеться;0
обижать\slash обидеть;;vexer;offend (smb.);0
предвидеть;;prévoir;foresee;0
достигать\slash достигнуть;;atteindre;reach;0
защищать\slash защитить;;défendre;defend (from, against);0
воспринимать\slash воспринять;;percevoir;perceive;0
восприняться\slash восприниматься;;s’apercevoir;perceive;0
предпринимать\slash предпринять;;entreprendre;undertake;0
предпочитать\slash предпочесть;;préférer;prefer;0
совершать\slash совершить;;accomplir;accomplish;0
совершаться\slash совершиться;;avoir lieu;happen;0
завершать\slash завершить;;achever;finish;0
ощущать\slash ощутить;;éprouver;feel;0
владеть\slash за-;;posséder;own;1
спорить\slash по-;;débattre, parier;argue, bet on;0
осуществлять\slash осуществить;;réaliser;realize;0
влиять\slash по-;;influencer;influence;1
рекомендовать\slash по-;;recommander;recommend;0
признавать\slash признать;;reconnaître;recognize;0
признаваться\slash признаться;;avouer;confess (to);0
переживать\slash пережить;;survivre à une période difficile;outlive;0
выживать\slash выжить;;survivre à un danger direct;survive;1
понадобиться;;avoir besoin de;need;0
добиваться\slash добиться;;(chercher à) obtenir;(try to) achieve;0
сбивать\slash сбить;;abattre, battre en neige;bring/knock down, whip (eggs,cream);0
забивать\slash забить;;enfoncer;drive in;0
перебивать\slash перебить;;tuer;re-upholster;0
избивать\slash избить;;rouer de coups;beat unmercifully;0
дрожать\slash дрогнуть;;trembler;tremble;1
вздрагивать\slash вздрогнуть;;frémir;tremble;1
превращаться\slash превратиться;;se transformer;turn (into);0
превращать\slash превратить;;transformer;change (into);0
вращаться\slash вращать;;se tourner;turn, roll;0
оценивать\slash оценить;;évaluer;fix the price (of);0
ценить\slash о-;;apprécier;value;0
недооценивать\slash недооценить;;sous-estimer;underestimate;0
развивать\slash развить;;développer;develop;0
исчезать\slash исчезнуть;;disparaître;disappear;1
сажать\slash посадить;;planter;seat;0
подозревать\slash заподозрить;;soupçonner (de);suspect (of);0
ловить\slash поймать;;attraper, capturer;(try to) catch;0
привлекать\slash привлечь;;attirer;attract;0
