verb;usage;transFr;transEn;yellow
казаться\slash по-;;paraître;seem;0
существовать;;exister;exist;1
пытаться\slash по-;;tenter;try;0
позволять\slash позволить;;permettre;allow (to);0
требовать\slash по-;;exiger;demand (of, from);0
собираться\slash собраться;;se rassembler;gather;0
приходиться\slash прийтись;;convenir;suit;1
касаться\slash коснуться;;toucher, concerner;touch, refer to;0
действовать\slash по-;;agir;act;1
состоять;;être;consist (in);1
возникать\slash возникнуть;;surgir;arise;1
оказываться\slash оказаться;;s’avérer;turn out (to be);0
появляться\slash появиться;;sembler;appear;0
обладать;;posséder;possess;1
наблюдать\slash по-;;observer,surveiller;watch, observe;0
судить;;juger;try;0
занимать\slash занять;;emprunter;borrow;0
стремиться\slash стремить;;aspirer à;speed;0
поддерживать\slash поддержать;;retenir;support;0
рассматривать\slash рассмотреть;;envisager;examine;0
выполнять\slash выполнить;;remplir;carry out;0
использоваться;;être utilisé;be used;0
соответствовать;;correspondre à;correspond (to / with);1
определять\slash определить;;définir;determine;0
содержать;;entretenir;contain;0
говорить\slash по-;;parler;talk (about);1
предполагать\slash предположить;;supposer, suggérer;suppose, assume;0
опубликовывать\slash опубликовать;;publier;publish;0
заключаться\slash заключиться;;consister en;conclude (with, in);0
следить\slash про-;;suivre;watch;1
обеспечивать\slash обеспечить;;assurer, fournir;secure, provide;0
заставлять\slash заставить;;obliger, forcer;compel, force;0
развиваться\slash развиться;;se développer;develop;0
исходить\slash изойти;;parcourir;go / walk / stroll all over;1
учитывать\slash учесть;;tenir compte de;take into account / consideration;0
меняться\slash по-;;changer;change;0
проводиться\slash провестись;;conduire;lead;0
делаться\slash с-;;devenir;become;0
попадать\slash попасть;;se trouver;hit;1
нуждаться;в;avoir besoin de;be in need of;0
предстоять;;avoir à accomplir;lie ahead;1
пользоваться\slash вос-;;profiter de;avail oneself (of);0
удаваться\slash удаться;;réussir;turn out well;0
рассчитывать\slash рассчитать;;calculer;calculate;1
оказывать\slash оказать;;montrer, faire preuve de;show, display;0
находиться\slash найтись;;se retrouver;be found;0
достигать\slash достигнуть;;atteindre;reach;0
защищать\slash защитить;;défendre;defend (from, against);0
воспринимать\slash воспринять;;percevoir;perceive;0
предпочитать\slash предпочесть;;préférer;prefer;0
совершать\slash совершить;;accomplir;accomplish;0
ощущать\slash ощутить;;éprouver;feel;0
владеть\slash за-;;posséder;own;1
спорить\slash по-;;discuter;dispute;0
осуществлять\slash осуществить;;réaliser;realize;0
влиять\slash по-;;influencer;influence;1
рекомендовать\slash по-;;recommander;recommend;0
признавать\slash признать;;reconnaître;recognize;0
переживать\slash пережить;;éprouver;experience;0
осуществляться\slash осуществиться;;se réaliser;be carried out;0
понадобиться;;avoir besoin de;need;0
дрожать;;trembler;tremble;1
превращаться\slash превратиться;;se transformer;turn (into);0
оценивать\slash оценить;;évaluer;fix the price (of);0
развивать\slash развить;;développer;develop;0
исчезать\slash исчезнуть;;disparaître;disappear;1
сажать\slash посадить;;planter;seat;0
подозревать\slash заподозрить;;soupçonner (de);suspect (of);0
ловить\slash поймать;;attraper, capturer;(try to) catch;0
привлекать\slash привлечь;;attirer;draw;0
приобретать\slash приобрести;;acquérir;acquire;0
проявлять\slash проявить;;manifester;show;0
окружать\slash окружить;;entourer;surround;0
отражать\slash отразить;;exprimer, refléter;repel, reflect;0
лезть\slash по-;;grimper;climb (up, on to);1
доверять\slash доверить;;confier;entrust (to);0
вступать\slash вступить;;entrer;enter;1
решаться\slash решиться;;être décidé;make up one's mind (to);0
создаваться\slash создаться;;se former;be created;0
превышать\slash превысить;;surpasser en;exceed;0
исполнять\slash исполнить;;accomplir;carry out, fulfill;0
подтверждать\slash подтвердить;;affirmer;confirm;0
отправляться\slash отправиться;;aller à,partir pour;go (to a place), set off;0
содержаться\slash содержать;;être;contain;0
вести\slash по-;;mener;move;0
заявлять\slash заявить;;déclarer;declare;0
цитировать\slash про-;;citer;quote;0
делиться\slash раз-;;se diviser;divide;0
допускать\slash допустить;;admettre;admit (to);0
реагировать\slash от-;;réagir;react (to, upon);1
настаивать\slash настоять;;insister sur;insist;1
заботиться\slash по-;;prendre soin de;take care (of);0
молиться\slash по-;;prier;pray (to smb., for smth.);0
доказывать\slash доказать;;prouver;prove;0
наблюдаться\slash по-;;être observé;be observed;0
сопровождать\slash сопроводить;;accompagner;accompany;0
сдавать\slash сдать;;remettre;deliver;0
разделять\slash разделить;;diviser;divide;0
разбираться\slash разобраться;;ranger des affaires;come apart;0
пугать\slash пугаться;;faire peur (à);frighten;0
изменять\slash изменить;;changer;change;1
преследовать;;poursuivre;pursue;0
посещать\slash посетить;;visiter;visit;0
орать\slash за-;;hurler;yell, scream;0
демонстрировать;;manifester;demonstrate;0
грозить\slash при-;;menacer, gronder;threaten, scold;0
тянуться\slash по-;;s’étirer;to reach;0
доставаться\slash достаться;;recevoir;fall to one's share;0
руководить;;diriger;lead;0
связывать\slash связать;;связать 1;tie together;0
задумываться\slash задуматься;;penser, envisager;wonder, conceive;0
комментировать\slash про-;;commenter;comment (on, upon);0
рисковать\slash рискнуть;;risquer;run risks;1
рассуждать;;raisonner;argue;1
страдать\slash по-;;souffrir;suffer (for a little);1
гарантировать;;garantir;guarantee;0
располагаться\slash расположиться;;s'installer;settle (oneself);0
совпадать\slash совпасть;;coïncider;coincide (with);1
изображать\slash изобразить;;dépeindre, décrire;depict, picture;0
набирать\slash набрать;;ramasser;gather;0
исследовать;;étudier, examiner;research, study;0
направлять\slash направить;;diriger;direct (at, to);0
производиться\slash произвестися;;faire;make;0
покидать\slash покинуть;;abandonner;leave;0
пускать\slash пустить;;laisser;let (go);0
выражаться\slash выразиться;;s'exprimer;appear;0
избегать\slash избежать;;fuir, éviter;escape, avoid;0
предполагаться\slash предположиться;;être prévu,destiné;be intended, presumed;0
угрожать;;menacer de;threaten (with);0
вынашивать\slash выносить;;porter, endurer;carry, endure;0
добиваться\slash добиться;;(chercher à) obtenir;(try to) achieve;0
печатать\slash на-;;imprimer;print;0
врать\slash со-;;mentir;lie;0
проговаривать\slash проговорить;;prononcer;say;0
подводить\slash подвести;;amener;lead (to);0
распространяться\slash распространиться;;se répandre;spread;0
размышлять\slash размыслить;;réfléchir (sur);reflect (on, upon);1
ценить\slash о-;;évaluer;value;0
заслуживать\slash заслужить;;mériter;deserve, merit;0
атаковать;;attaquer;attack;0
продаваться\slash продаться;;se vendre;be on / for sale;0
направляться\slash направиться;;se diriger;make;0
бросаться\slash броситься;;se précipiter;dash;0
придерживаться\slash придержаться;;se tenir à;hold (to);0
признаваться\slash признаться;;avouer;confess (to);0
отре́зать\slash отреза́ть;;sectionner qqch;cut off, snip off;0
подлежать;;être sujet à;be subject (to);1
считать\slash счесть;;compter;count;1
наслаждаться\slash насладиться;;profiter, savourer;enjoy, be delighted;0
формироваться\slash с-;;se former;shape;0
беседовать;;causer;converse (with);1
повторяться\slash повториться;;se répéter;repeat (oneself);0
отрицать;;nier;deny;0
выделяться\slash выделиться;;se séparer;stand out (for);0
продемонстрировать\slash продемнстрировать;;mettre en évidence;show;0
прятаться\slash с-;;se cacher;hide;0
уступать\slash уступить;;céder;let (smb.) have (smth.);0
видеться\slash у-;;se voir;увидеться;0
объясняться\slash объясниться;;s'expliquer;explain oneself;0
догадываться\slash догадаться;;deviner;guess;0
обвинять\slash обвинить;;accuser (de);accuse (of);0
командовать;;commander;command;0
жалеть\slash по-;;plaindre;pity;1
ранить\slash по-;;blesser;wound;0
восприняться\slash восприниматься;;s’apercevoir;perceive;0
предлагать\slash предлагаться;;offrir;offer;0
мыслить;;raisonner;think (of, about);0
сохраняться\slash сохраниться;;se conserver;remain;0
возглавлять\slash возглавить;;être à la tête;be at the head;0
возрастать\slash возрасти;;croître;grow;1
удерживать\slash удержать;;retenir;retain;0
формировать\slash с-;;former;form;0
планироваться\slash спланировать;;arrêter;plan;0
раздражать\slash раздражить;;irriter;irritate;0
сниться\slash при-;;rêver;dream;0
мучить\slash за-;;tourmenter;torment;0
радоваться\slash об-;;se réjouir;rejoice;0
объединять\slash объединить;;unifier;unite;0
подвергаться\slash подвергнуться;;subir;undergo;0
охватывать\slash охватить;;embrasser;seize;0
претендовать;;prétendre à;(lay) claim (to);1
покончить;;achever;finish (with);0
крутить\slash по-;;tordre, tortiller;turn, twist;0
прислушиваться\slash прислушаться;;écouter;listen (to);0
предусматривать\slash предусмотреть;;prévoir;foresee;0
заглядывать\slash заглянуть;;regarder;glance (at);1
стесняться\slash по-;;se gêner;feel / be shy / self-conscious / embarrassed;0
наносить\slash нанести;;déposer, causer;pile up, cause;0
сверкать\slash сверкнуть;;étinceler;sparkle;1
отпускать\slash отпустить;;relâcher;let go;0
вкладывать\slash вложить;;mettre, contribuer;put in, contribute;0
зафиксировать;;fixer;fix;0
радовать\slash об-;;réjouir;gladden;0
чувствоваться\slash перечувствовать;;ressentir;be felt;0
уничтожать\slash уничтожить;;détruire;destroy;0
ознакомляться\slash ознакомиться;;prendre connaissance;get to know;0
рваться\slash рвать;;se déchirer;break;0
обходиться\slash обойтись;;coûter,s’en sortir;cost, get by with;0
годиться;;convenir;be fit (for);0
обучать\slash обучить;;former qqun à;teach (smb. smth.);0
убеждать\slash убедить;;convaincre de;convince (of);0
пропускать\slash пропустить;;laisser passer;let pass / in / through;1
дожидаться\slash дождаться;;attendre;wait (for, till);0
шептать\slash про-;;chuchoter;whisper;0
превращать\slash превратить;;transformer;change (into);0
разрабатывать\slash разработать;;cultiver;cultivate;0
сопротивляться;;résister;resist;0
захватывать\slash захватить;;attraper, capturer;catch, capture;0
публиковать\slash о-;;publier annoncer;publish;0
справляться\slash справиться;;venir à bout de;inquire (after, about);0
обозначать\slash обозначить;;marquer;denote;0
болтать\slash вз-;;agiter;shake up;0
отражаться\slash отразиться;;avoir des effets;have impacts on;0
регулировать;;régler;regulate;0
раскрывать\slash раскрыть;;ouvrir;open;0
издавать\slash издать;;éditer;publish;0
ограничивать\slash ограничить;;restreindre;confine;0
заключать\slash заключить;;conclure, enfermer;conclude, close;0
колебаться\slash по-;;être ébranlé;oscillate;0
обожать;;adorer;adore;0
опускаться\slash опуститься;;tomber;sink;0
сгорать\slash сгореть;;être brûlé;burn down / out;1
качать\slash качнуть;;balancer;rock;0
обнимать\slash обнять;;étreindre;embrace, hug;0
освещать\slash осветить;;éclairer,souligner;light (up);0
удовлетворять\slash удовлетворить;;satisfaire;satisfy;0
сдерживать\slash сдержать;;retenir;hold in;0
писаться\slash на-;;s'érire;spell;0
стимулировать;;stimuler;stimulate;0
опускать\slash опустить;;baisser;lower;0
нападать\slash напасть;;attaquer,surmonter;attack, to overcome;1
относиться\slash отнестись;;traiter,considérer;treat, concern;0
сжимать\slash сжать;;сжать I;(com)press;0
превосходить\slash превзойти;;surpasser;excel (in);0
протягивать\slash протянуть;;tendre;stretch;0
беречь\slash по-;что;garder, conserver;guard, keep;0
игнорировать;;ignorer;ignore;0
снижать\slash снизить;;abaisser;lower;0
рвать\slash рваться;;arracher;tear (to / in pieces);0
обслуживать\slash обслужить;;desservir;serve;0
бормотать\slash про-;;marmonner;mutter;0
функционировать;;fonctionner;function;1
вмешиваться\slash вмешаться;;se mêler de;interfere (in);0
ползти\slash по-;;ramper;crawl / creep along;1
разрушать\slash разрушить;;détruire;destroy;0
сотрудничать;;collaborer;collaborate (with);1
крутиться\slash по-;;tourner, pivoter;turn, spin;0
подбирать\slash подобрать;;relever;pick up;0
дуть\slash по-;;souffler;подуть;0
мучиться\slash по-;;souffrir;agonize, suffer;0
выдерживать\slash выдержать;;soutenir;stand;0
умолять\slash умолить;;implorer;entreat;0
путать;;embrouiller;mix things up;0
разбирать\slash разобрать;;prendre;strip;0
заводить\slash завести;;conduire, démarrer;lead, start/bring up;0
наполнять\slash наполнить;;remplir;fill;0
кушать\slash по-;;manger;eat;0
осуждать\slash осудить;;désapprouver;condemn;0
ликвидировать;;liquider;liquidate;0
нарастать\slash нарасти;;croître,intensifier;grow (on), build up;1
вздыхать\slash вздохнуть;;respirer;sigh;1
критиковать;;critiquer;criticize;0
анализировать\slash про-;;analyser;analyse;0
оборачиваться\slash обернуться;;se retourner;turn (round);0
внушать\slash внушить;;inspirer;suggest;0
оправдывать\slash оправдать;;justifier;justify;0
удаляться\slash удалиться;;s'éloigner;move off / away (from);0
расставаться\slash расстаться;;se séparer (de);part (with);0
вращаться\slash вращать;;se tourner;turn, roll;0
восстанавливать\slash восстановить;;rétablir;restore;0
восхищаться\slash восхититься;;admirer;be delighted (with);0
скользить\slash скользнуть;;glisser;slide;1
воображать\slash вообразить;;imaginer;imagine;0
совершаться\slash совершиться;;s'accomplir;happen;0
отделять\slash отделить;;séparer;separate;0
предпринимать\slash предпринять;;entreprendre;undertake;0
распространять\slash распространить;;diffuser;spread;0
намереваться\slash намериться;;avoir l'intention de;intend;0
продвигаться\slash продвинуться;;progresser;move forward / ahead;0
нервничать;;être nerveux;be / feel nervous;1
снижаться\slash снизиться;;baisser;descend;0
хлопать\slash по-;;claquer;flap;0
осматривать\slash осмотреть;;visiter;view;0
вытаскивать\slash вытащить;;retirer;take out;0
включаться\slash включиться;;se joindre à;join (in);0
преодолевать\slash преодолеть;;surmonter;overcome;0
сообщаться\slash сообщиться;;se communiquer;communicate;0
хохотать\slash за-;;rire (aux éclats);laugh (loud / boisterously);1
организовывать\slash организовать;;organiser;organize;0
конкурировать;;concourir;compete (with, in);1
добывать\slash добыть;;obtenir, extraire;obtain, mine;0
смущать\slash смутить;;troubler;embarrass;0
поставлять\slash поставить;;поставить II;deliver (for);0
впадать\slash впасть;;tomber, sombrer;fall, lapse;1
стрелять\slash выстрелить;;faire feu;shoot (at);1
доводить\slash довести;;amener à;to take (to);0
излагать\slash изложить;;exposer;state;0
трястись\slash тряхнуть;;trembler (de, grelotter);shake;0
сбегать\slash сбежать;;courir;run (for);1
возбуждать\slash возбудить;;exciter;excite;0
обижать\slash обидеть;;vexer;offend (smb.);0
катиться\slash по-;;rouler;roll, stream;0
растеряться;;se perdre;be / get lost;0
сочинять\slash сочинить;;écrire;compose;0
подвергать\slash подвергнуть;;faire subir à;subject (to);0
слушаться\slash по-;;obéir à;obey;0
лечиться\slash по-;;guérir, se soigner;receive / undergo (medical) treatment (for);0
предвидеть;;prévoir;foresee;0
прижимать\slash прижать;;serrer contre;press (to / on);0
рыдать;;sangloter;sob;1
выяснять\slash выяснить;;éclaircir;clear up;0
трясти\slash тряхнуть;;secouer;shake;0
запускать\slash запустить;;jeter;fling;0
компенсировать;;compenser;compensate;0
оцениваться\slash оцениться;;évaluer;fix the price (of);0
воздействовать;;influencer;influence;1
задыхаться\slash задохнуться;;étouffer;gasp (for breath);0
цвести;;fleurir;flower;1
завершать\slash завершить;;achever;finish;0
охотиться;;chasser;hunt;0
взволновать\slash волновать;;inquiéter;agitate;0
освобождать\slash освободить;;libérer;set free;0
гудеть\slash про-;;bourdonner;buzz;1
базироваться\slash базировать;;se fonder sur;rest (on, upon);0
выбираться\slash выбраться;;sortir, se tirer;get out;0
приказывать\slash приказать;;ordonner;order (to);0
откладывать\slash отложить;;mettre de côté;put / set aside;0
лгать\slash со-;;mentir;lie;1
расширять\slash расширить;;élargir;widen;0
гибнуть\slash по-;;périr;perish;1
таять\slash рас-;;fondre;melt;1
передвигаться\slash передвинуться;;se déplacer;move;0
рассыпаться\slash -;;se répandre;crumble;0
погибать\slash погибнуть;;périr;perish;1
рубить\slash на-;;abattre;chop;0
тонуть\slash у-;;se noyer;sink;1
отвлекать\slash отвлечь;;détourner;divert, distract;0
адресовать;;adresser;address;0
жрать\slash со-;;dévorer;devour;0
литься\slash по-;;couler, fuiter;flow;0
поглощать\slash поглотить;;engloutir;swallow up;0
пересекать\slash пересечь;;passer à travers;cut;0
расспрашивать\slash расспросить;;questionner sur;inquire;0
сочетаться;;s'unir;combine;0
наказывать\slash наказать;;punir;punish;0
воспроизводить\slash воспроизвести;;répéter, rejouer;reproduce, replay;0
привязывать\slash привязать;;attacher;tie (to);0
отзываться\slash отозваться;;répondre à, parler;respond (to), speak of;0
приступать\slash приступить;;se mettre à;set about;1
задерживаться\slash задержаться;;être retenu;stay too long;0
сожалеть;;regretter;pity (smb.);1
вытирать\slash вытереть;;essuyer;wipe;0
разворачиваться\slash развернуться;;se déployer;turn (around);0
казнить;;exécuter, accabler;execute, torture;0
присоединяться\slash присоединиться;;se joindre à;join;0
взаимодействовать;;coopérer;interact;1
устраиваться\slash устроиться;;s'installer;settle down;0
осваивать\slash освоить;;assimiler;master;0
вставлять\slash вставить;;mettre;set in(to);0
помещать\slash поместить;;mettre;place;0
укреплять\slash укрепить;;affermir;strengthen;0
доминировать;;prédominer;(pre)dominate;1
обмениваться\slash обменяться;;échanger;take smth. by mistake;0
отбирать\slash отобрать;;enlever;take away / off / from;0
оскорблять\slash оскорбить;;offenser;offend;0
стартовать;;prendre le départ;start;1
финансировать;;financer;finance;0
дополнять\slash дополнить;;compléter;supplement (with);0
причинять\slash причинить;;causer;cause;0
стонать\slash про-;;gémir;groan;1
заливать\slash залить;;inonder;flood;0
перечислять\slash перечислить;;énumérer;enumerate;0
пояснять\slash пояснить;;expliquer;explain;0
протестовать\slash за-;;protester;protest (against / at);1
извлекать\slash извлечь;;extraire de, tirer;extract, retrieve;0
блокировать;;bloquer;blockade;0
содействовать\slash по-;;aider à;assist;1
потреблять\slash потребить;;consommer;consume;0
заведовать;;administrer;be in charge;1
оперировать;;opérer;operate (on);0
сбивать\slash сбить;;abattre;bring / knock down;0
сосать;;sucer;suck;0
иллюстрировать\slash про-;;illustrer;illustrate;0
прилагать\slash приложить;;joindre;apply (to);0
подражать;;imiter;imitate;1
удалять\slash удалить;;éloigner;move off / away;0
вспыхивать\slash вспыхнуть;;jaillir;blaze up;1
специализироваться;;se spécialiser;specialize (in);0
забивать\slash забить;;enfoncer;drive in;0
