verb;transFR
акцентировать;accentuer
биться\slash побить;se battre
благоприятствовать;favoriser
бойкотировать;boycotter
браться\slash взяться;prendre
бродить;errer
бушевать;être en furie
валить\slash по-;faire tomber
валяться\slash валять;se vautrer
вводить\slash ввести;introduire
вдохновлять\slash вдохновить;inspirer
ведать;administrer
везти\slash по-;transporter
велеть;ordonner de
венчать;couronner
вербовать\slash за-;recruter
вестись\slash повести;être conduit
виднеться;se voir
визировать;viser
влечь;entraîner
внедрять\slash внедрить;faire pénétrer
вовлекать\slash вовлечь;entraîner dans
водиться\slash повести;il y a
возбуждаться\slash возбудиться;s'exciter
возводить\slash возвести;élever
возделывать\slash возделать;cultiver
возиться\slash по-;s'ébattre
воодушевлять\slash воодушевить;animer
вопить;(hurler, jeter po
восхвалять\slash восхвалить;faire l'éloge de
всматриваться\slash всмотреться;scruter du regar
втискивать\slash втиснуть;fourrer
вторгаться\slash вторгнуться;envahir
втыкать\slash воткнуть;enfoncer
втягивать\slash втянуть;tirer
вцепляться\slash вцепиться;s'attacher à
выбивать\slash выбить;casser
выводить\slash вывести;sortir
выглядывать\slash выглядеть;regarder (dehors
выдвигать\slash выдвинуть;avancer
выдворять\slash выдворить;chasser
выкачивать\slash выкачать;pomper
выкладывать\slash выложить;étaler
вылезать\slash вылезть;sortir
вымещать\slash выместить;se défouler (sur
выпивать\slash выпить;boire
выплачивать\slash выплатить;payer
выпускать\slash выпустить;laisser aller
вырабатывать\slash выработать;produire
вырезать\slash -;découper
вырывать\slash вырвать;arracher
вырываться\slash вырваться;s'échapper
высаживаться\slash высадиться;descendre de
высказывать\slash высказать;dire
высказываться\slash высказаться;émettre son opin
выскакивать\slash выскочить;sauter
выслеживать\slash выследить;suivre la trace 
выставлять\slash выставить;avancer
высылать\slash выслать;envoyer
выть\slash вз-;hurler
выявлять\slash выявить;montrer
выяснить\slash выясняться;выясниться
гласить;annoncer
гнать;chasser
говориться;être dit
горевать;s'affliger
господствовать;dominer sur
грешить\slash со-;pécher
грузить\slash по-;charger
грызть;ronger
даваться\slash даться;se laisser
деваться\slash деться;disparaître
дезертировать;déserter
декламировать\slash про-;dire
делаться\slash с-;devenir
дергать\slash дернуть;tirer par
дискутировать;discuter
доводиться\slash довестись;оборотом
доживать\slash дожить;atteindre l'âge 
документировать;documenter
домогаться;solliciter
донашиваться\slash доноситься;донестись
допускать\slash допускаться;être admis
дорожить;faire cas de
думаться\slash подумать;sembler
дымить\slash на-;fumer
жаждать;avoir soif de
жаловать\slash по-;conférer à
женить\slash жениться;marier
жечь\slash с-;brûler
забрасывать\slash забросать;couvrir
заваливать\slash завалить;combler
завладевать\slash завладеть;prendre possessi
загонять\slash загнать;faire entrer
задевать\slash задеть;задеть 1
заимствовать\slash по-;emprunter
замирать\slash замереть;rester immobile
заносить\slash занести;apporter
заплетать\slash заплести;tresser
запутывать\slash запутать;embrouiller
засовывать\slash засунуть;fourrer
затрагивать\slash затронуть;aborder
затруднять\slash затруднить;embarrasser
затыкать\slash заткнуть;boucher
затягивать\slash затянуть;serrer
затягиваться\slash затянуться;se serrer
зачерпывать\slash зачерпнуть;puiser
идентифицировать;identifier
избавлять\slash избавить;délivrer
издеваться;se moquer de
изумлять\slash изумить;étonner
именовать\slash на-;dénommer
имитировать;imiter
инвестировать;investir
интегрировать;intégrer
иронизировать;ironiser
исповедовать;confesser
калечить\slash ис-;mutiler
карабкаться\slash вс-;grimper
качать\slash по-;balancer (un peu
кланяться\slash поклониться;saluer
клясться\slash по-;prêter serment
комбинировать\slash с-;combiner
компрометировать\slash с-;compromettre
констатировать;constater
концентрировать\slash с-;concentrer
копать\slash копнуть;creuser
крестить\slash о-;baptiser
кружиться\slash закружить;tourner
ликовать;jubiler
лишать\slash лишить;priver
лишаться\slash лишиться;perdre
маршировать;marcher
материться\slash материть;jurer
мелькать\slash мелькнуть;apparaître furti
метаться\slash метнуть;s'agiter
миновать;passer
мобилизовать;mobiliser
мотивировать;motiver
мчаться\slash по-;aller grand trai
мять\slash из-;écraser
набивать\slash набить;bourrer
набираться\slash набраться;найти в себе
наводить\slash навести;diriger
навязывать\slash навязать;навязать I
надрываться\slash надорваться;se déchirer
наезжать\slash наехать;donner
налаживать\slash наладить;régler
намекать\slash намекнуть;faire allusion à
напрашиваться\slash напроситься;s'attirer
насмехаться;se moquer de
натыкаться\slash наткнуться;se heurter contr
недоставать\slash недостать;manquer
носить\slash понести;porter
носиться\slash понестись;courir
ныть;faire mal (à, cau
оберегать\slash оберечь;garder, veiller s
обитать;habiter
облегчать\slash облегчить;alléger
обнаруживать\slash обнаружить;découvrir
обнаруживаться\slash обнаружиться;découvrir
обобщать\slash обобщить;généraliser
оборудовать;outiller
обрабатывать\slash обработать;travailler
обращать\slash обратить;tourner
обретать\slash обрести;trouver
обрушиваться\slash обрушиться;s’ébouler
обстоять;se trouver (situ
обусловливать\slash обусловить;conditionner
обязывать\slash обязать;obliger
овладевать\slash овладеть;s'emparer
оглядываться\slash оглядеться;regarder tout au
ограничиваться\slash ограничиться;se borner à
ожидаться\slash ожидать;s’attendre à
опасаться;craindre
опираться\slash опереться;s'appuyer sur
определяться\slash определиться;être déterminé
ориентировать;orienter (vers, i
ориентироваться;s'orienter
осмеливаться\slash осмелиться;oser
оснащать\slash оснастить;gréer
основываться\slash основаться;se fixer
осознавать\slash осознать;avoir pleine con
оспаривать\slash оспорить;contester
отбрасывать\slash отбросить;jeter de côté
отвергать\slash отвергнуть;rejeter
отзывать\slash отозвать;rappeler
откликаться\slash откликнуться;répondre à
отклонять\slash отклонить;rejeter
отмечаться\slash отметиться;faire enregister
отнимать\slash отнять;enlever
отображать\slash отобразить;refléter
отрабатывать\slash отработать;отработать 1
отрываться\slash оторваться;se détacher
отстаивать\slash отстоять;être éloigné (de
отступать\slash отступить;reculer
отталкивать\slash оттолкнуть;repousser
оттягивать\slash оттянуться;tirer
отыскивать\slash отыскать;trouver
очаровывать\slash очаровать;charmer
очнуться;s'éveiller
очутиться;se trouver
ощущаться\slash ощутиться;se ressentir
перебирать\slash перебрать;trier
передаваться\slash передаться;gagner
переть;traîner (les pie
перехватывать\slash перехватить;saisir
пилить;scier
пинать\slash пнуть;pousser avec le 
питать\slash на-;nourrir
питаться\slash на-;se nourrir
плевать\slash плюнуть;cracher
побивать\slash побить;battre
поведывать\slash поведать;dire
повиноваться;obéir
повисать\slash повиснуть;pendre
поглядывать;jeter des regard
погодить;attendre
погружаться\slash погрузиться;charger les marc
подавлять\slash подавить;écraser
подбивать\slash подбить;doubler (de)
поддаваться\slash поддаться;céder
поделать;faire
подразумевать;sous-entendre
подслушивать\slash подслушать;écouter (aux por
подхватывать\slash подхватить;attraper
подчинять\slash подчинить;soumettre
подчиняться\slash подчиниться;se soumettre
познавать\slash познать;connaître
покорять\slash покорить;soumettre
покрывать\slash покрыть;couvrir
полагать;penser
полагаться\slash положиться;в обычае
поощрять\slash поощрить;encourager
попадаться\slash попасться;être pris
попрошайничать;quémander
поражать\slash поразить;frapper
порождать\slash породить;engendrer
порывать\slash порвать;déchirer
посвящать\slash посвятить;consacrer
поселяться\slash поселиться;se fixer
поститься;jeûner
потрясать\slash потрясти;brandir
править;gouverner
практиковать\slash практиковаться;pratiquer
пребывать\slash пребыть;être
предназначать\slash предназначить;destiner à
предопределять\slash предопределить;prédestiner
предоставлять\slash предоставить;donner
предоставляться\slash предоставить;donner
представать\slash предстать;comparaître
предшествовать;précéder
пренебрегать\slash пренебречь;négliger
преобладать;prédominer
препятствовать\slash вос-;empêcher
прерывать\slash прервать;interrompre
прерываться\slash прерваться;s'interrompre
преуменьшать\slash преуменьшить;amoindrir
приватизировать;privatiser
приводиться\slash привестись;arriver
пригождаться\slash пригодиться;être utile
придавать\slash придать;donner
придираться\slash придраться;s'en prendre à à
призывать\slash призвать;appeler
прикрывать\slash прикрыть;fermer
примыкать\slash примкнуть;adhérer
приниматься\slash приняться;se mettre à
приостанавливать\slash приостановить;arrêter
припоминать\slash припомнить;se rappeler
присаживаться\slash присесть;s’asseoir
приукрашивать\slash приукрасить;orner
приучать\slash приучить;accoutumer
прищемлять\slash прищемить;pincer
пробивать\slash пробить;percer
пробуждать\slash пробудить;réveiller
проваливаться\slash провалиться;tomber
провозглашать\slash провозгласить;proclamer
проглядывать\slash проглядеть;parcourir
прогуливаться\slash прогуляться;se promener
продвигать\slash продвинуть;faire avancer
продвинуться\slash продвинуть;faire avancer
проникать\slash проникнуть;pénétrer dans
проноситься\slash пронестись;промчаться
пропагандировать;faire de la prop
прорываться\slash прорваться;se déchirer
просматривать\slash просмотреть;regarder
протекать\slash протечь;couler
противодействовать;s'opposer à
противопоставлять\slash противопоставить;opposer
противоречить;contredire
противостоять;résister à
проявляться\slash проявиться;se manifester
пытать;mettre à la tort
равняться\slash с-;égaler
разбрасывать\slash разбросать;disperser
разводить\slash развести;reconduire
разглядывать\slash разглядеть;dévisager
раздаваться\slash раздаться;retentir
разлучаться\slash разлучиться;se séparer
раскладывать\slash разложить;mettre
распахивать\slash распахать;labourer
располагать\slash расположить;disposer
распоряжаться\slash распорядиться;ordonner de
распускать\slash распустить;donner congé (à, 
рассматриваться\slash рассмотреть;voir
растаможивать\slash растаможить;dédouaner
растрогать;toucher
расходиться\slash разойтись;s'en aller
реветь;mugir
рекомендоваться;se présenter
руководствоваться\slash руководствовать;suivre
рухнуть;s'écrouler
