verb;transFR
авторизоваться;autoriser
анализировать\slash про-;analyser
аплодировать;applaudir
арендовать;louer
бегать\slash бежать;courir
бежать\slash по-;courir
беспокоить\slash беспокоиться;inquiéter
беспокоиться\slash о-;s'inquiéter de
бить\slash по-;battre
благодарить\slash по-;remercier
блестеть\slash блеснуть;briller
бодрствовать;veiller
болеть;être malade
бороться\slash бороть;lutter
бояться;craindre
брать\slash взять;prendre
бриться\slash по-;se raser
бронировать\slash за-;réserver
бросать\slash бросить;jeter
будить\slash раз-;réveiller
бывать;avoir lieu
быть;être
варить\slash с-;cuire
вдыхать\slash вдохнуть;aspirer
верить\slash по-;croire
вертеть;tourner
весить;peser
вести\slash по-;mener
вешать\slash повесить;suspendre
взвешивать\slash взвесить;peser
взлетать\slash взлететь;monter
взрослеть\slash по-;
взрывать\slash взорвать;faire exploser
взрываться\slash взорваться;faire explosion
видеть\slash у-;voir
висеть;pendre
включать\slash включить;insérer dans
влюбляться\slash влюбиться;devenir amoureux 
вносить\slash внести;porter
водить\slash повести;conduire
воевать;faire la guerre (
возвращать\slash возвратить;rendre
возвращаться\slash возвратиться;retourner
возить\slash повезти;transporter
возражать\slash возразить;objecter
волновать\slash вз-;agiter
волноваться\slash вз-;s'agiter
воровать\slash с-;voler
восклицать\slash воскликнуть;s'écrier
воспаляться\slash воспалиться;s'enflammer
воспитывать\slash воспитать;élever
вращать;tourner, pivoter
вспоминать\slash вспомнить;se souvenir de
вставать\slash встать;se lever
встречать\slash встретить;rencontrer
встречаться\slash встретиться;rencontrer
входить\slash войти;entrer
въезжать\slash въехать;entrer
выбегать\slash выбежать;sortir en courant
выбирать\slash выбрать;choisir
выбрасывать\slash выбросить;jeter
выглядывать\slash выглядеть;trouver
выдавать\slash выдать;donner
выделять\slash выделить;choisir
выдыхать\slash выдохнуть;expirer
выезжать\slash выехать;partir
выздоравливать\slash выздороветь;guérir
вызывать\slash вызвать;faire venir
выигрывать\slash выиграть;gagner
выкидывать\slash выкинуть;jeter
выключать\slash выключить;exclure
вылетать\slash вылететь;s'envoler
вынимать\slash вынуть;tirer
выпадать\slash выпасть;tomber
выписывать\slash выписать;extraire
выполняться\slash выполнить;remplir
выпрямляться\slash выпрямиться;se redresser
выражать\slash выразить;exprimer
вырастать\slash вырасти;grandir
выступать\slash выступить;sortir
вытекать\slash вытечь;s'écouler
вытягивать\slash вытянуть;allonger
выучивать\slash выучить;apprendre
выходить\slash выйти;sortir de
вычеркивать\slash вычеркнуть;radier
гасить\slash по-;éteindre
гладить\slash вы-;repasser
глядеть\slash по-;regarder
говорить\slash сказать;parler
голодать;souffrir la faim
голосовать\slash про-;voter (pour)
гордиться;être fier de
гореть;brûler
готовить\slash при-;préparer
готовиться\slash при-;se préparer à
греметь\slash про-;gronder
греть;chauffer
гулять;se promener
давать\slash дать;donner
давить\slash раз-;peser sur
дарить\slash по-;donner
двигать\slash двинуть;mouvoir
двигаться\slash двинуться;se mouvoir
дежурить;être de service
делать\slash с-;faire
делить\slash раз-;diviser (en)
держать;tenir
держаться\slash держать;tenir
дешеветь\slash по-;devenir meilleur 
диктовать\slash про-;dicter
длиться\slash про-;durer
добавлять\slash добавить;ajouter
добираться\slash добраться;parvenir à
договариваться\slash договориться;traiter
догонять\slash догнать;courir après
доезжать\slash доехать;arriver jusqu'à
докладывать\slash доложить;rapporter
дорожать\slash вз-;(r)enchérir
доставать\slash достать;atteindre
доставлять\slash доставить;fournir
доходить\slash дойти;marcher jusqu’à
драться\slash по-;se battre
дружить;être ami
думать\slash по-;penser
дышать\slash по-;respirer
ездить\slash ехать;aller
есть\slash съ-;manger
ехать\slash по-;aller à
жалеть\slash по-;plaindre
жаловаться\slash по-;se plaindre
жарить\slash из-;rôtir
ждать;attendre
жевать\slash по-;mâcher
желать\slash по-;désirer
жениться;se marier avec
жить;vivre
забирать\slash забрать;prendre
заболевать\slash заболеть;tomber malade
забывать\slash забыть;oublier
завидовать\slash по-;porter envie à
зависеть;dépendre de
заворачивать\slash завернуть;envelopper
завтракать\slash по-;prendre son déjeu
завязывать\slash завязать;завязать I
заговаривать\slash заговорить;commencer à parle
загорать\slash загореть;se hâler
задавать\slash задать;donner
зажигать\slash зажечь;allumer
заказывать\slash заказать;commander
заканчивать\slash закончить;achever
заканчиваться\slash закончиться;prendre fin
закрывать\slash закрыть;fermer
закрываться\slash закрыться;se fermer
закуривать\slash закурить;allumer une cigar
заменять\slash заменить;remplacer
замерзать\slash замерзнуть;se geler
замечать\slash заметить;remarquer
замолчать;se taire
заниматься\slash заняться;s'occuper de
запирать\slash запереть;fermer
записывать\slash записать;noter
записываться\slash записаться;s'inscrire
заплатить;payer
заполнять\slash заполнить;remplir
запоминать\slash запомнить;retenir
запрещать\slash запретить;défendre
запрещаться\slash запретить;être défendu
зарабатывать\slash заработать;gagner
зарегистрировать\slash зарегистрироваться;se faire inscrire
застраховывать\slash застраховать;assurer contre
засыпать\slash заснуть;s'endormir
