verb;transFR
адресовать;adresser
активизировать;activer, dynamiser
активировать;activer
анализировать\slash про-;analyser
аннулировать;annuler
аргументировать;argumenter
арестовывать\slash арестовать;arrêter
архивировать\slash за-;archiver
ассоциировать;associer
атаковать;attaquer
базироваться\slash базировать;se fonder sur
бастовать;faire grève
беременеть\slash за-;devenir enceinte
беречь\slash по-;garder, conserver
беседовать;causer
блокировать;bloquer
болтать\slash вз-;agiter
бомбардировать;bombarder
бормотать\slash про-;marmonner
бросаться\slash броситься;se précipiter
брызгать\slash брызнуть;jaillir
ввозить\slash ввезти;importer
вести\slash по-;mener
взаимодействовать;coopérer
взволновать\slash волновать;inquiéter
взглядывать\slash взглянуть;regarder
вздрагивать\slash вздрогнуть;débuter, trembler
вздыхать\slash вздохнуть;respirer
взламывать\slash взломать;forcer
видеться\slash у-;se voir
вкладывать\slash вложить;mettre, contribuer
включаться\slash включиться;se joindre à
владеть\slash за-;posséder
влезать\slash влезть;grimper (à)
влиять\slash по-;exercer une influ
вмешиваться\slash вмешаться;se mêler de
вмещать\slash вместить;contenir
внушать\slash внушить;inspirer
возбуждать\slash возбудить;exciter
возглавлять\slash возглавить;être à la tête
воздействовать;influencer
воздерживаться\slash воздержаться;s'abstenir de
возникать\slash возникнуть;surgir
возобновлять\slash возобновить;recommencer
возрастать\slash возрасти;croître
вонять;puer
воображать\slash вообразить;imaginer
воспринимать\slash воспринять;percevoir
восприняться\slash восприниматься;s’apercevoir
воспроизводить\slash воспроизвести;répéter, rejouer
восстанавливать\slash восстановить;rétablir
восхищаться\slash восхититься;admirer
впадать\slash впасть;tomber, sombrer
врать\slash со-;mentir
вращаться\slash вращать;se tourner
вредить\slash по-;nuire à
вручать\slash вручить;remettre
врываться\slash ворваться;faire irruption
вскакивать\slash вскочить;sauter sur
вскрывать\slash вскрыть;ouvrir
вспыхивать\slash вспыхнуть;jaillir
вставлять\slash вставить;mettre
встраивать\slash встроить;encastrer
встряхивать\slash встряхнуть;secouer
вступать\slash вступить;entrer
выбираться\slash выбраться;sortir, se tirer
вывозить\slash вывезти;enlever, exporter
выгонять\slash выгнать;chasser
выделяться\slash выделиться;se séparer
выдерживать\slash выдержать;soutenir
выживать\slash выжить;survivre
выкручивать\slash выкрутить;tordre, dévisser
выкупать\slash выкупаться;racheter, baigner
вынашивать\slash выносить;porter, endurer
вынуждать\slash вынудить;contraindre
выполнять\slash выполнить;remplir
выражаться\slash выразиться;s'exprimer
выращивать\slash вырастить;élever
высасывать\slash высосать;sucer
выслушивать\slash выслушать;écouter
выстраивать\slash выстроить;bâtir
вытаскивать\slash вытащить;retirer
вытирать\slash вытереть;essuyer
вычислять\slash вычислить;calculer
вышивать\slash вышить;broder
выяснять\slash выяснить;éclaircir
вязать\slash с-;lier, attacher, tr
гарантировать;garantir
гармонировать;s'harmoniser
генерировать;produire
гибнуть\slash по-;périr
глотать;avaler
гнаться\slash по-;courir après
говорить\slash по-;parler
годиться;convenir
грабить\slash о-;voler, piller
грозить\slash при-;menacer, gronder
гудеть\slash про-;bourdonner
датировать;dater (de)
действовать\slash по-;agir
делаться\slash с-;devenir
делиться\slash раз-;se diviser
демонстрировать;manifester
добиваться\slash добиться;(chercher à) obte
добывать\slash добыть;obtenir, extraire
доверять\slash доверить;confier
доводить\slash довести;amener à
догадываться\slash догадаться;deviner
дожидаться\slash дождаться;attendre
доказывать\slash доказать;prouver
доминировать;prédominer
донашивать\slash доносить;porter, dénoncer
дополнять\slash дополнить;compléter
допрашивать\slash допросить;interroger
допускать\slash допустить;admettre
доставаться\slash достаться;recevoir
достигать\slash достигнуть;atteindre
дразнить\slash по-;taquiner
дрожать;trembler
дуть\slash по-;souffler
душить\slash за-;étouffer
жалеть\slash по-;plaindre
жалить\slash у-;piquer
жертвовать\slash по-;faire un don
жрать\slash со-;dévorer
забивать\slash забить;enfoncer
забираться\slash забраться;grimper, pénétrer
заботиться\slash по-;prendre soin de
заваривать\slash заварить;infuser
заведовать;administrer
завершать\slash завершить;achever
завершаться\slash завершиться;s'achever
заверять\slash заверить;assurer, certifier
зависать\slash зависнуть;traîner (avec)
заводить\slash завести;conduire, démarrer
завоевывать\slash завоевать;conquérir
заглядывать\slash заглянуть;regarder
загораживать\slash загородить;enclore
загружать\slash загрузить;charger
загрязнять\slash загрязнить;salir
задерживать\slash задержать;retenir
задерживаться\slash задержаться;être retenu
задумывать\slash задумать;se proposer de
задумываться\slash задуматься;rester pensif rêv
задыхаться\slash задохнуться;étouffer
заезжать\slash заехать;passer chez
зажимать\slash зажать;serrer
закладывать\slash заложить;mettre
заключать\slash заключить;emprisonner
заключаться;consister en
закреплять\slash закрепить;fixer
залезать\slash залезть;entrer
заливать\slash залить;inonder
залогиниться;
занимать\slash занять;emprunter
запаздывать\slash запоздать;être en retard
запоминаться\slash запомниться;rester dans la mé
запускать\slash запустить;jeter
заражать\slash заразить;communiquer à
заслуживать\slash заслужить;mériter
заставать\slash застать;trouver
заставлять\slash заставить;encombrer
застревать\slash застрять;rester
застреливать\slash застрелить;tuer
застывать\slash застынуть;застыть
зафиксировать;fixer
захватывать\slash захватать;prendre
зачислять\slash зачислить;nommer
защищать\slash защитить;défendre
заявлять\slash заявить;déclarer
злить\slash обо-;fâcher
злоупотреблять\slash злоупотребить;abuser de
знакомить\slash по-;présenter à
игнорировать;ignorer
избавляться\slash избавиться;se délivrer
избегать\slash избежать;éviter
избивать\slash избить;battre
извещать\slash известить;informer
извлекать\slash извлечь;tirer
изготавливать\slash изготовить;fabriquer
