verb;usage;transFr;transEn;yellow
адресовать;;adresser;address;not movement
активизировать;;activer, dynamiser;make more active;not movement
активировать;;activer;activate;not movement
анализировать\slash про-;;analyser;analyse;not movement
аннулировать;;annuler;annul;not movement
аргументировать;;argumenter;argue;not movement
арестовывать\slash арестовать;;arrêter;arrest;not movement
архивировать\slash за-;;archiver;archive;not movement
ассоциировать;;associer;associate;not movement
атаковать;;attaquer;attack;not movement
базироваться\slash базировать;;se fonder sur;rest (on, upon);not movement
бастовать;;faire grève;strike;movement
беременеть\slash за-;;devenir enceinte;become pregnant;movement
беречь\slash по-;что;garder, conserver;guard, keep;not movement
беседовать;;causer;converse (with);movement
блокировать;;bloquer;blockade;not movement
болтать\slash вз-;;agiter;shake up;not movement
бомбардировать;;bombarder;bomb;not movement
бормотать\slash про-;;marmonner;mutter;not movement
бросаться\slash броситься;;se précipiter;dash;not movement
брызгать\slash брызнуть;;jaillir;splash (on);not movement
ввозить\slash ввезти;;importer;import;not movement
вести\slash по-;;mener;move;not movement
взаимодействовать;;coopérer;interact;movement
взволновать\slash волновать;;inquiéter;agitate;not movement
взглядывать\slash взглянуть;;regarder;look (at);movement
вздрагивать\slash вздрогнуть;;débuter, trembler;start, tremble;movement
вздыхать\slash вздохнуть;;respirer;sigh;movement
взламывать\slash взломать;;forcer;break open;not movement
видеться\slash у-;;se voir;увидеться;not movement
вкладывать\slash вложить;;mettre, contribuer;put in, contribute;not movement
включаться\slash включиться;;se joindre à;join (in);not movement
владеть\slash за-;;posséder;own;movement
влезать\slash влезть;;grimper (à);climb in(to);movement
влиять\slash по-;;exercer une influence;influence;movement
вмешиваться\slash вмешаться;;se mêler de;interfere (in);not movement
вмещать\slash вместить;;contenir;hold;not movement
внушать\slash внушить;;inspirer;suggest;not movement
возбуждать\slash возбудить;;exciter;excite;not movement
возглавлять\slash возглавить;;être à la tête;be at the head;not movement
воздействовать;;influencer;influence;movement
воздерживаться\slash воздержаться;;s'abstenir de;refrain (from);not movement
возникать\slash возникнуть;;surgir;arise;movement
возобновлять\slash возобновить;;recommencer;renew;not movement
возрастать\slash возрасти;;croître;grow;movement
вонять;;puer;stink (of);movement
воображать\slash вообразить;;imaginer;imagine;not movement
воспринимать\slash воспринять;;percevoir;perceive;not movement
восприняться\slash восприниматься;;s’apercevoir;perceive;not movement
воспроизводить\slash воспроизвести;;répéter, rejouer;reproduce, replay;not movement
восстанавливать\slash восстановить;;rétablir;restore;not movement
восхищаться\slash восхититься;;admirer;be delighted (with);not movement
впадать\slash впасть;;tomber, sombrer;fall, lapse;movement
