verb,transFR
казаться\slash по-,paraître
существовать,exister
пытаться\slash по-,tenter
позволять\slash позволить,permettre
требовать\slash по-,exiger
собираться\slash собраться,se rassembler
приходиться\slash прийтись,convenir
касаться\slash коснуться,toucher
действовать\slash по-,agir
состоять,être
возникать\slash возникнуть,surgir
оказываться\slash оказаться,se trouver
появляться\slash появиться,sembler
обладать,posséder
наблюдать,observer
судить,juger
занимать\slash занять,emprunter
стремиться\slash стремить,aspirer à
поддерживать\slash поддержать,retenir
рассматривать\slash рассмотреть,envisager
выполнять\slash выполнить,remplir
использоваться,servir
соответствовать,correspondre à
определять\slash определить,définir
содержать,entretenir
говорить\slash по-,parler
предполагать\slash предположить,supposer
опубликовывать\slash опубликовать,publier
заключаться,consister en
следить\slash про-,suivre
обеспечивать\slash обеспечить,pourvoir
заставлять\slash заставить,encombrer
развиваться\slash развиться,se développer
исходить\slash изойти,parcourir
учитывать\slash учесть,tenir compte de
меняться\slash по-,changer
проводиться\slash провестись,conduire
делаться\slash с-,devenir
попадать\slash попасть,se trouver
нуждаться,avoir besoin (de
предстоять,testпользоваться\slash вос-,profiter de
удаваться\slash удаться,réussir
рассчитывать\slash рассчитать,calculer
оказывать\slash оказать,montrer
находиться\slash найтись,se retrouver
достигать\slash достигнуть,atteindre
защищать\slash защитить,défendre
воспринимать\slash воспринять,percevoir
предпочитать\slash предпочесть,préférer
совершать\slash совершить,accomplir
ощущать\slash ощутить,éprouver
владеть\slash за-,posséder
спорить\slash по-,discuter
осуществлять\slash осуществить,réaliser
влиять\slash по-,exercer une influ
рекомендовать\slash по-,recommander
признавать\slash признать,reconnaître
переживать\slash пережить,éprouver
осуществляться\slash осуществиться,se réaliser
понадобиться,avoir besoin de
дрожать,trembler
превращаться\slash превратиться,se transformer
оценивать\slash оценить,évaluer
развивать\slash развить,développer
исчезать\slash исчезнуть,disparaître
сажать\slash посадить,planter
подозревать\slash заподозрить,soupçonner (de)
ловить\slash поймать,saisir
привлекать\slash привлечь,attirer
приобретать\slash приобрести,acquérir
проявлять\slash проявить,manifester
окружать\slash окружить,entourer
отражать\slash отразить,réfléchir
лезть\slash по-,grimper
доверять\slash доверить,confier
вступать\slash вступить,entrer
решаться\slash решиться,être décidé
создаваться\slash создаться,se former
превышать\slash превысить,surpasser en
исполнять\slash исполнить,faire
подтверждать\slash подтвердить,affirmer
отправляться\slash отправиться,aller (à)
содержаться\slash содержать,être
вести\slash по-,mener
заявлять\slash заявить,déclarer
цитировать\slash про-,citer
делиться\slash раз-,se diviser
допускать\slash допустить,admettre
реагировать\slash от-,réagir
настаивать\slash настоять,insister sur
заботиться\slash по-,se soucier de
молиться\slash по-,prier
доказывать\slash доказать,prouver
наблюдаться\slash наблюдать,se voir
